id,screen_name,followers_count
1140967597,alexjadah,111
373507388,AnthonyHarter,123
85006559,WonderWomenDoc,1743
3246195908,10PTTSWN,118
69894033,jokekkk,1044
2495900256,dead_3nds,17
433905291,Skippyy_5,414
4449744433,digitalmarketbd,131
893295553,KristaCagg,337
2440061332,fthecistem,552
3328528710,iJaswantY,513
96406378,AllitheAbstract,1211
3493251736,malum_irwings,608
22495686,mbialczak,1925
194165061,1029CHTM,262
15264881,abbigator,93
486298008,TheMinstrelDSU,199
17938303,SteveMay_UK,9907
3230285771,buzzovernewser,8139
284665742,bextoga_,1004
326138506,Mr_inspector_,12036
2463580141,dad2se,2570
16745374,sbncollege,1293
2167776855,KkimooK,285
34486207,sandrabuarque,2535
227414743,seanknight_,311
2817720176,MoCkY1998,68
189843841,hopeCANdie,725
3309424526,Carmelita8370,278
2204109159,MingoKemosabe,953
3148842416,VerticalViewing,24
1342544430,Meyer78759,33677
830504714,Rodrigojara001,355
301494570,Waleed_Hazbun,798
59085358,MOBITEE,2834
349929025,MMtrick,251
2181245806,DavidIAdeleke,1773
1372272469,IQShowbiz,9579
3034211301,StoreGi,784
15384713,killsmedead,892
4063735797,wafflelord55,3
58529195,HeartJacking,2219
254238864,scificelia,327
2897933767,og_yawnyawn,630
98009076,SuicidePass,4398
3136553802,steveshulud1,527
22718551,shellheels,410
270106571,brotips,607121
93182200,melowpi,141
2163718256,ranveersbabe,1921
4019933895,Shopall3,196
2536003674,michalpiasecki1,146
41202911,PopcornPR,1636
20426561,JimiFootball,234
283733251,Totally_Offside,335
190167411,juangayarre,11492
65031963,aimee_zigs,849
1706125861,LeeLeprechaun,1234
1738679281,lrryjmescnda,760
610775128,TheLevineGo,173
3274875709,ChynneseEmpire,293
79923522,VICEAU,14869
637080057,KSchoenling,277
3215961846,LosAngelesNC,2
326050506,Sinclairsmart,677
393439786,SlyFurryFox,263
714885755,philib41,1
4159377795,VentesFlash,85
4503871233,go_eat_rice,15
2737909938,starwarsnewz,137
252871511,lannyosu,1640
22561799,suzysaid,1818
57928460,AnggitoArdi,543
64095087,ArnaldoDK,384
474184218,olaczajnik,30
2375705424,IBD_Aelliott,142
2480078557,sarahbakerzz,791
294291071,LucyRomana,513
397251034,Thomas_Parry9,426
3235397875,KatalinetheKat,1460
2392414561,AreYouNorAyu,266
1465246206,saraccaldeira,1174
69321344,TheIRD,7154
3995655465,NASAnextstory,717
231464080,novitaanovie,817
2966676035,alexdyu14,224
1310864558,sultanhaziq,376
1292201503,ms_wa26,136
856586640,MaggieBaugh,10205
2904683803,Gogglor_Smash,79
59819234,ABC4GTU,2831
62994848,GoldenSaucerGuy,264
271017603,brettscorey,120
4342988835,ghostt121,13
294756191,tropic198f,174
350215876,DarrenStrazek,126
30450860,alyssaajaye,502
366983073,hotvideogb,298
19198387,s3rgiosan,499
456847761,krishabv,808
275207082,AlexParkerDC,2248
129951224,Joe_RODAuOM,49
1498902956,_Nelechar,136
2432426237,zoruah,733
2491799726,thedinojay,359
